Official (scientific) name,Common name
Candida albicans (strain SC5314 / ATCC MYA-2876),Yeast
Candida apicola,Yeast
Candida auris,Yeast
Candida albicans (strain WO-1),Yeast
Candida albicans,Yeast
Candida boidinii,Yeast
Cantharellus cibarius,Chanterelle
Canavalia cathartica,Jackbean
Candida dubliniensis (strain CD36 / ATCC MYA-646 / CBS 7987 / NCPF 3949 / NRRL Y-17841),Yeast
Candida dubliniensis,Yeast
Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138),Yeast
Candida glabrata,Yeast
Canavalia grandiflora,Jackbean
Canis latrans,Coyote
Canis lupus familiaris,Dog
Candida maltosa,Yeast
Candida maltosa (strain Xu316),Yeast
Candida norvegensis,Yeast
Candida orthopsilosis (strain 90-125),Yeast
Candida oleophila,Yeast
Candida parapsilosis,Yeast
Candida parapsilosis (strain CDC 317 / ATCC MYA-4646),Yeast
Candida sp. (strain HA167),Yeast
Cannabis sativa,Hemp
Canalohypopterygium tamariscinum,Moss
Candida tenuis (strain ATCC 10573 / BCRC 21748 / CBS 615 / JCM 9827 / NBRC 10315 / NRRL Y-1498 / VKM Y-70),Yeast
Candida tenuis,Yeast
Candida tropicalis,Yeast
Candida tsukubaensis,Yeast
Candida tropicalis (strain ATCC MYA-3404 / T1),Yeast
Capra falconeri,Markhor
Capra hircus,Goat
Capra ibex,Ibex
Capparis masaikai,Mabinlang
Capnoides sempervirens,Rock-harlequin
Capparis spinosa,Caper
Caracal caracal,Caracal
Carlia ailanpalai,Skink
Carassius auratus,Goldfish
Carum carvi,Caraway
Carabus convexus,Beetle
Carex dimorpholepis,Sedge
Carapa guianensis,Crabwood
Carya illinoinensis,Pecan
Carex kiotensis,Sedge
Cardamine macrophylla,Bitter-cress
Carnation mottle virus (isolate China/Shanghai),CarMV
Carex metallica,Sedge
Carnation mottle virus,CarMV
Cardamine nipponica,Bitter-cress
Carex oxyandra,Sedge
Carica papaya,Papaya
Cardamine pentaphyllos,Bitter-cress
Cartonema philydroides,Spiderwort
Carex shimidzensis,Sedge
Cardinalis sinuatus,Pyrrhuloxia
Carabus sylvestris,Beetle
Carthamus tinctorius,Safflower
Caranx vinctus,Cocinero
Cardamine waldsteinii,Bitter-cress
Cassia leiandra,Marimari
Castrica phalaenoides,Moth
Catocala butleri,Moth
Catharomnion ciliatum,Moss
Cattleya dowiana,Orchid
Catasetum expansum,Orchid
Catharus fuscescens,Veery
Cattleya guttata,Orchid
Chicken anemia virus (isolate USA 26p4),CAV
Chicken anemia virus (isolate Japan 82-2),CAV
Chicken anemia virus (isolate Australia),CAV
Chicken anemia virus (isolate Germany Cuxhaven-1),CAV
Chicken anemia virus (isolate Australia/CAU269-7/2000),CAV
Chicken anemia virus (isolate USA CIA-1),CAV
Choristoneura biennis entomopoxvirus,CbEPV
Chrysochromulina brevifilum virus PW1,CbV-PW1
Crimean-Congo hemorrhagic fever virus (strain Nigeria/IbAr10200/1970),CCHFV
Crimean-Congo hemorrhagic fever virus (isolate C68031),CCHFV
Cowpea chlorotic mottle virus,CCMV
Canine distemper virus (strain A92-27/4),CDV
Canine distemper virus (strain A92-6),CDV
Canine distemper virus (strain Convac vaccine),CDV
Canine distemper virus (strain Onderstepoort),CDV
Celatoblatta sp. (strain Blue Mountains),Cockroach
Cellana flava,Limpet
Cellana grata,Limpet
Centruroides baergi,Scorpion
Centruroides bicolor,Scorpion
Centruroides bonito,Scorpion
Cenchrus ciliaris,Buffelgrass
Centruroides huichol,Scorpion
Cenchrus longisetus,Feathertop
Centruroides ornatus,Scorpion
Centruroides tecomanus,Scorpion
Centrolobium tomentosum,Arariba
Centropages typicus,Copepod
Cephalopholis fulva,Coney
Ceraclea annulicornis,Caddisfly
Ceroctena amynta,Moth
Cerataulina bicornis,Diatom
Ceratophyllum demersum,Coontail
Ceratophysella denticulata,Springtail
Ceraclea excisa,Caddisfly
Ceratodalia gueneata,Moth
Ceratozamia kuesteriana,Cycad
Cercopithecus lomamiensis,Lesula
Ceratonia siliqua,Carob
Carnation etched ring virus,CERV
Ceutorhynchus erysimi,Weevil
Chrysochromulina ericina virus,CeV01
Choristoneura fumiferana entomopoxvirus,CfEPV
Cocksfoot mottle virus (isolate Dactylis glomerata/Norway/CfMV-NO/1995),CfMV
Cucumber green mottle mosaic virus (strain watermelon SH),CGMMV
Cucumber green mottle mosaic virus (strain watermelon W),CGMMV
Chaunax abei,Coffinfish
Chaetopleura angulata,Chiton
Chara corallina,Stonewort
Chaos carolinense,Amoeba
Chartergellus communis,Wasp
Chanos chanos,Milkfish
Chamaea fasciata,Wrentit
Chaetopleura lanuginosa,Chiton
Chaetoderma nitidulum,Glistenworm
Chaetymenia peduncularis,Daisy
Chamaechaenactis scaposa,Fullstem
Chaerilus tricostatus,Scorpion
Chaerilus tryznai,Scorpion
Chandipura virus (strain I653514),CHPV
Charadrius vociferus,Killdeer
Cheilosia albitarsis,Hoverfly
Cheiropleuria bicuspis,Fern
Cherax dispar,Crayfish
Cheilodactylus fasciatus,Redfingers
Cheilosia illustrata,Hoverfly
Chenopodium quinoa,Quinoa
Chengiopanax sciadophylloides,Koshiabura
Chelonid herpesvirus 5 (strain FL var A),ChHV-5
Chironomus annularius,Midge
Gallus gallus,Chicken
Chironomus dorsalis,Midge
Chikungunya virus (strain 37997),CHIKV
Chironomus kiiensis,Midge
Chikungunya virus (strain Nagpur),CHIKV
Chikungunya virus (strain S27-African prototype),CHIKV
Chikungunya virus,CHIKV
Chironomus pallidivittatus,Midge
Chironomus tentans,Midge
Chironomus thummi thummi,Midge
Chironomus thummi piger,Midge
Chironomus thummi,Midge
Chimaphila umbellata,Pipsissewa
Chlosyne harrisii,Harris'checkerspot
Chlorodiella laevissima,Crab
Chloranthus spicatus,Chulantree
Chosenia arbutifolia,Willow
Chorispora tenella,Crossflower
Galliform aveparvovirus 1 (isolate Chicken/Hungary/ABU-P1/-/-),ChPV
Cryphonectria hypovirus 1 (strain EP713),CHV-1/EP713
Cryphonectria hypovirus 1 (strain Euro7),CHV-1/Euro7
Chrysomya albiceps,Blowfly
Chrysotoxum bicinctum,Hoverfly
Chromis chromis,Damselfish
Chrysomya chloropyga,Blowfly
Chrysomya flavifrons,Blowfly
Chrysomya incisuralis,Blowfly
Chrysomya latifrons,Blowfly
Chrysanthemum lavandulifolium,Daisy
Chrysactinia mexicana,Damianita
Chrysomya marginalis,Blowfly
Chrysomya nigripes,Blowfly
Chrysoperla plorabunda,Lacewing
Chrysomya pinguis,Blowfly
Chrysomya semimetallica,Blowfly
Chrysogaster solstitialis,Hoverfly
Cercopithecine herpesvirus 1,CeHV-1
Cercopithecine herpesvirus 12,CeHV-12
Cercopithecine herpesvirus 16,CeHV-16
Cercopithecine herpesvirus 1 (strain E2490),CeHV-1
Cercopithecine herpesvirus 9 (strain DHV),CeHV-9
Chydaekata acuminata,Amphipod
Chysis bractescens,Orchid
Chicory yellow mottle virus,ChYMV
Cicer arietinum,Chickpea
Cichorium endivia,Endive
Cichorium intybus,Chicory
Cicuta virosa,Cowbane
Cigaritis takanonis,Butterfly
Citrus leprosis virus C (isolate Citrus sinesis/Brazil/Cordeiropolis/2003),CiLV-C
Cirrhinus mrigala,Mrigala
Cirolanides texensis,Isopod
Carnation Italian ringspot virus,CIRV
Cistanche deserticola,Desert-broomrape
Cistanche salsa,Broomrape
Cistopus taiwanicus,Octopus
Citrus clementina,Clementine
Citrus japonica,Kumquat
Citrus junos,Yuzu
Citrullus lanatus,Watermelon
Citrus limon,Lemon
Citrus maxima,Pomelo
Citrus medica,Citron
Citrus paradisi,Grapefruit
Citrus reticulata,Tangerine
Clausocalanus arcuicornis,Copepod
Clavispora lusitaniae (strain ATCC 42720),Yeast
Clarkia lewisii,Farewell-to-spring
Clausocalanus lividus,Copepod
Citrus leaf blotch virus (isolate Nagami kumquat/France/SRA-153/1984),CLBV
Clelia clelia,Mussurana
Clematis integrifolia,Clematis
Cleidogona major,Millipede
Clogmia albipunctata,Mothmidge
Clowesia warczewiczii,Orchid
Carnation latent virus,CLV
African cassava mosaic virus (isolate West Kenyan 844),ACMV
African cassava mosaic virus (isolate Nigerian),ACMV
Carrot mottle virus (isolate Carrot/Germany/Weddel/2005),CMoV
Cucumber mosaic virus (strain As),CMV
Cucumber mosaic virus (strain B),CMV
Cucumber mosaic virus (strain Banana),CMV
Cucumber mosaic virus (strain C),CMV
Cucumber mosaic virus (strain C7-2),CMV
Cucumber mosaic virus (strain CS),CMV
Cucumber mosaic virus (strain DKRD),CMV
Cucumber mosaic virus (strain E5),CMV
Cucumber mosaic virus (strain FC),CMV
Cucumber mosaic virus (strain FNY),CMV
Cucumber mosaic virus (strain FT),CMV
Cucumber mosaic virus (strain I17F),CMV
Cucumber mosaic virus (strain Iizuka),CMV
Cucumber mosaic virus (strain Ixora),CMV
Cucumber mosaic virus (strain K),CMV
Cucumber mosaic virus (strain Kin),CMV
Cucumber mosaic virus (strain Kor),CMV
Cucumber mosaic virus (strain M),CMV
Cucumber mosaic virus (strain M48),CMV
Cucumber mosaic virus (strain MB-8),CMV
Cucumber mosaic virus (strain N),CMV
Cucumber mosaic virus (strain NT9),CMV
Cucumber mosaic virus (strain O),CMV
Cucumber mosaic virus (strain P6),CMV
Cucumber mosaic virus (strain Pepo),CMV
Cucumber mosaic virus (strain Q),CMV
Cucumber mosaic virus (strain S),CMV
Cucumber mosaic virus (strain Trk7),CMV
Cucumber mosaic virus (strain WL),CMV
Cucumber mosaic virus (strain Y),CMV
Canarypox virus,CNPV
Cycas necrotic stunt virus,CNSV
Cucumber necrosis virus,CNV
Corchorus capsularis,Jute
Cocal virus,COCV
Coccothraustes coccothraustes,Hawfinch
Coelogyne arachnites,Orchid
Coelophrys brevicaudata,Batfish
Coelogyne cristata,Orchid
Coereba flaveola,Bananaquit
Coeliades ramanatek,Policeman
Coitocaecum parvum,Flatworm
Colubrina asiatica,Latherleaf
Conostylis androstemma,Trumpets
Conopholis americana,Squawroot
Conocephalum japonicum,Liverwort
Conium maculatum,Hemlock
Copera annulata,Damselfly
Copidosoma floridanum,Wasp
Canine oral papillomavirus,COPV
Canine oral papillomavirus (strain Y62),COPV
Corticium candelabrum,Sponge
Corvus frugilegus,Rook
Coryphaena hippurus,Dolphinfish
Corrigiola litoralis,Strapwort
Coreopsis petrophiloides,Tickseed
Coriandrum sativum,Coriander
Corydalis saxicola,Fumewort
Coreoperca whiteheadi,Perch
Cosavirus A (isolate Human/Pakistan/0553/-),HCoSV-A
Cotyledon eliseae,Navelwort
Cottus gobio,Bullhead
Cottoperca gobio,Frogmouth
Cotyledon papillaris,Navelwort
Cottus reinii,Sculpin
Cotyledon woodii,Navelwort
Cowpox virus,CPV
Commelina yellow mottle virus,CoYMV
Cowpea mosaic virus,CPMV
Cryphonectria parasitica mitovirus 1 (strain American chestnut tree/New Jersey/NB631),CMV1
Cowpea mosaic virus (strain SB),CPMV
Crocodilepox virus,CRV
Nile crocodilepox virus (isolate Crocodylus niloticus/Zimbabwe/Ume/2001),CRV
Cowpea severe mosaic virus (strain DG),CPSMV
Citrus psorosis virus (isolate Spain/P-121),CPsV
Cypovirus 1,CPV-1
Bombyx mori cytoplasmic polyhedrosis virus,BmCPV
Choristoneura fumiferana cypovirus,CfCPV
Euxoa scandens cypovirus,EsCPV
Orgyia pseudotsugata cypovirus,OpCPV
Cupixi mammarenavirus (isolate Rat/Brasil/BeAn 119303/1970),CPXV
Crangonyx islandicus,Amphipod
Crataegus monogyna,Hawthorn
Cratopus murinus,Weevil
Crassula orbicularis,Pygmyweed
Cratopus ovalis,Weevil
Crassula perforata,Pygmyweed
Crassula portulacea,Pygmyweed
Crassula rupestris subsp. marnieriana,Pygmyweed
Craterostigmus tasmanianus,Centipede
Crepis alpina,Hawksbeard
Creteuchiloglanis kamengensis,Catfish
Crinodes besckei,Moth
Cricetidae sp.,Hamster
Cherry rasp leaf virus,CRLV
Cherry rasp leaf virus (isolate Potato/United States),CRLV
Crocodylus novaeguineae,Crocodile
Crocus sativus,Saffron
Cafeteria roenbergensis virus (strain BV-PW1),CroV
Crocidura wuchihensis,Shrew
Crocosmia x crocosmiiflora,Montbretia
Cricket paralysis virus,CrPV
Cricket paralysis virus (isolate Teleogryllus commodus/Australia/CrPVVIC/1968),CrPV
Cottontail rabbit papillomavirus (strain Kansas),CRPV
Cottontail rabbit papillomavirus (strain Washington B),CRPV
Carnation ringspot virus,CRSV
Carnation ringspot virus (isolate Lommel),CRSV
Crucihimalaya himalaica,Rock-cress
Crucihimalaya wallichii,Rock-cress
Cymbidium ringspot virus,CymRSV
Cryptobranchus alleganiensis,Hellbender
Cryptops anomalans,Centipede
Crypthecodinium cohnii,Dinoflagellate
Cryptorchestia cavimana,Amphipod
Cryphoeca exlineae,Spider
Cryptoprocta ferox,Fossa
Cryptasterina hystera,Starfish
Cryphoeca montana,Spider
Cryptasterina pentagona,Starfish
Classical swine fever virus (strain Alfort),CSFV
Classical swine fever virus (strain Brescia),CSFV
Classical swine fever virus (strain Chinese vaccine Wuhan),CSFV
Classical swine fever virus (strain KPP/93),CSFV
Campoletis sonorensis ichnovirus,CsIV
Campoletis sonorensis ichnovirus (strain Texas A&M),CsIV
Chloris striate mosaic virus,CSMV
Chum salmon reovirus CS,CSRV
Cassava vein mosaic virus,CsVMV
Ctenoplusia agnata,Moth
Colorado tick fever virus,CTFV
Colorado tick fever virus (strain USA/Florio N-7180),CTFV
Citrus tristeza virus (isolate T36),CTV
Cubaia aphrodite,Jellyfish
Cubaris murina,Isopod
Cucurbita maxima,Pumpkin
Cucumis melo,Muskmelon
Cucurbita pepo var. melopepo,Zucchini
Cucumis sativus,Cucumber
Culex bitaeniorhynchus,Mosquito
Culex pipiens pallens,Mosquito
Culex sitiens,Mosquito
Culex theileri,Mosquito
Culex torrentium,Mosquito
Culex tritaeniorhynchus,Mosquito
Cuon alpinus,Dhole
Cupaniopsis anacardioides,Carrotwood
Curculio hilgendorfi,Weevil
Curcuma longa,Turmeric
Curculio sulcatulus,Weevil
Cuscuta sandwichiana,Kauna'oa
Cutaneotrichosporon cutaneum,Yeast
Cutaneotrichosporon moniliiforme,Yeast
Chrysanthemum virus B,CVB
Bovine coronavirus (strain 98TXSF-110-ENT),BCoV-ENT
Bovine coronavirus (strain F15),BCoV
Bovine coronavirus (strain G95),BCoV
Bovine coronavirus (strain L9),BCoV
Bovine coronavirus (strain LSU-94LSS-051),BCoV-LSU
Bovine coronavirus (strain 98TXSF-110-LUN),BCoV-LUN
Bovine coronavirus (strain LY-138),BCoV
Bovine coronavirus (strain Mebus),BCoV
Bovine coronavirus (strain OK-0514),BCoV
Bovine coronavirus (strain Ontario),BCoV
Bovine coronavirus (strain Quebec),BCoV
Bovine coronavirus (strain vaccine),BCoV
Canine coronavirus (strain Insavc-1),CCoV
Canine coronavirus (strain K378),CCoV
Canine coronavirus (strain BGF10),CCoV
Equine coronavirus (isolate NC99),ECoV
Feline enteric coronavirus (strain 79-1683),FeCoV
Human coronavirus 229E,HCoV-229E
Human coronavirus 229E (strain infectious clone inf-1),HCoV-229E
Human coronavirus HKU1,HCoV-HKU1
Human coronavirus HKU1 (isolate N1),HCoV-HKU1
Human coronavirus HKU1 (isolate N2),HCoV-HKU1
Human coronavirus HKU1 (isolate N5),HCoV-HKU1
Human coronavirus NL63,HCoV-NL63
Human coronavirus OC43,HCoV-OC43
Murine coronavirus (strain 1),MHV-1
Murine coronavirus (strain 2),MHV-2
Murine coronavirus (strain 3),MHV-3
Murine coronavirus (strain 4),MHV-4
Murine coronavirus (strain A59),MHV-A59
Murine coronavirus (strain DVIM),MHV-DVIM
Murine coronavirus (strain JHMV / variant CL-2),MHV
Murine coronavirus (strain defective JHM),MHV
Murine coronavirus (strain JHM),MHV-JHM
Murine coronavirus (strain S),MHV-S
Porcine hemagglutinating encephalomyelitis virus (strain 67N),HEV-67N
Porcine transmissible gastroenteritis coronavirus (strain FS772/70),TGEV
Porcine hemagglutinating encephalomyelitis virus (strain IAF-404),HEV
Porcine transmissible gastroenteritis coronavirus (strain Miller),TGEV
Porcine transmissible gastroenteritis coronavirus (strain Purdue),TGEV
Porcine respiratory coronavirus (strain 86/137004 / isolate British),PRCoV
Porcine respiratory coronavirus (strain RM4),PRCoV
Porcine transmissible gastroenteritis coronavirus (strain NEB72-rt),TGEV
Puffinosis coronavirus,PV
Rat coronavirus (strain NJ),RCV-NJ
Rat coronavirus (strain 681),RCV-SDAV
Turkey coronavirus (strain Indiana),TCoV
Turkey enteric coronavirus,TCoV
Turkey coronavirus (strain Minnesota),TCoV
Turkey coronavirus (strain NC95),TCoV
Cowpox virus (strain Brighton Red),CPV
Cowpox virus (strain GRI-90 / Grishak),CPV
Cyanoplax berryana,Chiton
Cyathophorum bulbosum,Moss
Cyanoplax hartwegii,Chiton
Cyanea nozakii,Jellyfish
Cyamopsis tetragonoloba,Guar
Cyberlindnera fabianii,Yeast
Cyberlindnera mrakii,Yeast
Cyberlindnera saturnus,Yeast
Cyclopterus lumpus,Lumpsucker
Cycas media,Cycad
Cycas micronesica,Cycad
Cyclanthera pedata,Achocha
Cycas rumphii,Cycad
Cycas siamensis,Cycad
Cycas taiwaniana,Cycad
Cydonia oblonga,Quince
Cestrum yellow leaf curling virus,CmYLCV
Cymbidium atropurpureum,Orchid
Cymbidium ensifolium,Orchid
Clover yellow mosaic virus,CYMV
Cynara cardunculus,Cardoon
Cynopoecilus melanotaenia,Killifish
Solanum betaceum,Tamarillo
Cyperus papyrus,Papyrus
Cyprinodon sp.,Pupfish
Cyprogenia stegaria,Fanshell
Cyrtopodium andersonii,Orchid
Cyrtotria poduriformis,Cockroach
Cyrtocarpa procera,Chupandilla
Dactylopius coccus,Cochineal
Dactylorhiza romana,Orchid
Dalbulus charlesi,Leafhopper
Damasonium alisma,Starfruit
Damaliscus korrigum,Topi
Damaliscus lunatus,Tsessebe
Damaliscus pygargus phillipsi,Blesbok
Damaliscus pygargus,Bontebok
Danio rerio,Zebrafish
Dasypogon bromeliifolius,Drumsticks
Dasyuroides byrnei,Kowari
Dasyurus geoffroii,Chuditch
Dasysyrphus hilaris,Hoverfly
Dasysyrphus pauxillus,Hoverfly
Dasysyrphus pinastri,Hoverfly
Dasysyrphus venustus,Hoverfly
Datisca cannabina,Akalbir
Datura stramonium,Jimsonweed
Daucus carota subsp. sativus,Carrot
Daubentonia madagascariensis,Aye-aye
Drosophila C virus (strain EB),DCV
Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),Yeast
Debaryomyces hansenii,Yeast
Delphinium staphisagria,Stavesacre
Dengue virus type 1 (strain Philippines/836-1/1984),DENV-1
Dengue virus type 1 (strain Thailand/AHF 82-80/1980),DENV-1
Dengue virus type 1 (strain Brazil/97-11/1997),DENV-1
Dengue virus type 1 (strain Jamaica/CV1636/1977),DENV-1
Dengue virus type 1 (strain Singapore/S275/1990),DENV-1
Dengue virus type 1 (strain Thailand/TH-Sman/1958),DENV-1
Dengue virus type 1 (strain Nauru/West Pac/1974),DENV-1
Dengue virus type 2 (isolate Malaysia M1),DENV-2
Dengue virus type 2 (isolate Malaysia M2),DENV-2
Dengue virus type 2 (isolate Malaysia M3),DENV-2
Dengue virus type 2 (strain Thailand/16681/1984),DENV-2
Dengue virus type 2 (strain 16681-PDK53),DENV-2
Dengue virus type 2 (isolate Thailand/0168/1979),DENV-2
Dengue virus type 2 (strain Cuba/205/1997),DENV-2
Dengue virus type 2 (strain China/D2-04),DENV-2
Dengue virus type 2 (strain Thailand/TH-36/1958),DENV-2
Dengue virus type 2 (strain Jamaica/1409/1983),DENV-2
Dengue virus type 2 (strain Thailand/NGS-C/1944),DENV-2
Dengue virus type 2 (strain Puerto Rico/PR159-S1/1969),DENV-2
Dengue virus type 2 (strain Peru/IQT2913/1996),DENV-2
Dengue virus type 2 (strain Tonga/EKB194/1974),DENV-2
Dengue virus type 2 (strain Thailand/PUO-218/1980),DENV-2
Dengue virus type 3 (strain China/80-2/1980),DENV-3
Dengue virus type 3 (strain Singapore/8120/1995),DENV-3
Dengue virus type 3 (strain Martinique/1243/1999),DENV-3
Dengue virus type 3 (strain Philippines/H87/1956),DENV-3
Dengue virus type 3 (strain Sri Lanka/1266/2000),DENV-3
Dengue virus type 4 (strain Dominica/814669/1981),DENV-4
Dengue virus type 4 (strain Thailand/0476/1997),DENV-4
Dengue virus type 4 (strain Philippines/H241/1956),DENV-4
Dengue virus type 4 (strain Singapore/8976/1995),DENV-4
Dengue virus type 4 (strain Thailand/0348/1991),DENV-4
Dendrobium arachnoideum,Orchid
Dendrobium acutilingue,Orchid
Dendrobium chrysotoxum,Orchid
Dendronephthya castanea,Coral
Dendrobium denneanum,Orchid
Dendrobium delicatum,Orchid
Dendrobium farmeri,Orchid
Dendrobium fimbriatum,Orchid
Dendrohypopterygium filiculiforme,Moss
Dendronephthya gigantea,Coral
Dendrobium loddigesii,Orchid
Dendronephthya mollis,Coral
Dendrobium moniliforme,Orchid
Dendrobium moschatum,Orchid
Dendrobium nobile,Orchid
Dendrobium officinale,Orchid
Dendrobium primulinum,Orchid
Dendrobium scabrilingue,Orchid
Dendronephthya suensoni,Coral
Dendrobium taurinum,Orchid
Dendrobium thyrsiflorum,Orchid
Dendrobium taylorii,Orchid
Deropegus aspina,Flatworm
Deropeltis atra,Cockroach
Deropeltis cf. erythrocephala JT-2004,Cockroach
Deropeltis integerrima,Cockroach
Dermacentor nuttalli,Tick
Dermacentor silvarum,Tick
Derocalymma versicolor,Cockroach
Desserobdella phalera,Leech
Duck hepatitis A virus (strain Duck/Taiwan/03D/2003),DHAV
Duck hepatitis B virus (strain United States/DHBV-16),DHBV
Duck hepatitis B virus (strain Germany/DHBV-3),DHBV
Duck hepatitis B virus (isolate Shanghai/DHBVQCA34),DHBV
Dhori virus (strain Indian/1313/61),Dho
Dianthus caryophyllus,Carnation
Dibothriocephalus dendriticus,Tapeworm
Dibothriocephalus nihonkaiensis,Tapeworm
Dictamnus albus,Gasplant
Dichelostemma capitatum,Bluedicks
Dileptus margaritifer,Ciliate
Dilatris pillansii,Rooiwortel
Dimeresia howellii,Doublet
Dinophysis acuminata,Dinoflagellate
Dinophysis acuta,Dinoflagellate
Dinomys branickii,Pacarana
Dinocras cephalotes,Stonefly
Dinenympha exilis,Flagellate
Dinophysis norvegica,Dinoflagellate
Dioclea grandiflora,Mucana
Dioon mejiae,Cycad
Dioryctria pseudotsugella,Moth
Dioon tomasellii,Cycad
Diospyros whyteana,Bladdernut
Diplotaxis catholica,Wall-rocket
Diplodontias dilatatus,Starfish
Dipodascus fermentans,Yeast
Diphyscium foliosum,Nut-moss
